City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Atar,MR,20.5169,-13.0499,69.49,26,100,5.32,overcast clouds
302,Glenluce,GB,54.8798,-4.8084,53.29,84,59,26.78,broken clouds
303,Cabedelo,BR,-6.9811,-34.8339,72.27,79,100,8.12,overcast clouds
304,Pacific Grove,US,36.6177,-121.9166,56.43,46,0,1.99,clear sky
305,Rio Grande,BR,-32.035,-52.0986,66.31,64,3,9.84,clear sky
306,Mackenzie,CA,55.2999,-123.1698,30.42,86,100,8.05,overcast clouds
307,Pangkah,ID,-6.9858,109.1693,90.99,68,97,7.23,overcast clouds
308,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,75,4.61,mist
309,Souillac,MU,-20.5167,57.5167,85.35,79,75,3.44,broken clouds
310,Aykhal,RU,66.0,111.5,-11.83,99,85,6.17,overcast clouds
311,Juba,SS,4.8517,31.5825,72.27,32,93,0.98,overcast clouds
312,Buala,SB,-8.145,159.5921,82.81,78,100,4.5,moderate rain
313,Talaya,RU,61.3833,152.75,-3.98,94,100,5.91,overcast clouds
314,Yulara,AU,-25.2406,130.9889,94.84,34,40,19.57,scattered clouds
315,Shentala,RU,54.45,51.4833,3.24,97,99,4.21,overcast clouds
316,Visby,SE,57.6409,18.296,35.76,86,100,17.27,light snow
317,Joensuu,FI,62.6012,29.7632,18.09,100,100,5.75,overcast clouds
318,Awbari,LY,26.5921,12.7805,40.86,55,4,3.36,clear sky
319,Kununurra,AU,-15.7667,128.7333,93.18,62,75,9.22,broken clouds
320,Lappeenranta,FI,61.0587,28.1887,19.45,93,75,3.44,broken clouds
321,Ust-Kuyga,RU,70.0167,135.6,-29.4,100,92,2.64,overcast clouds
322,Norway,US,45.7869,-87.9037,1.89,70,75,0.0,broken clouds
323,Mount Pleasant,US,32.7941,-79.8626,43.18,64,100,1.99,overcast clouds
324,Namibe,AO,-15.1961,12.1522,70.92,83,100,6.46,overcast clouds
325,Taoudenni,ML,22.6783,-3.9836,68.31,12,100,10.47,overcast clouds
326,Bilma,NE,18.6853,12.9164,52.43,24,0,10.51,clear sky
327,Berdigestyakh,RU,62.0989,126.6992,-10.66,95,100,6.6,overcast clouds
328,Aklavik,CA,68.2191,-135.0107,-19.37,88,6,6.24,clear sky
329,Magadan,RU,59.5667,150.8,12.51,74,97,14.85,overcast clouds
330,Orange Cove,US,36.6244,-119.3137,51.57,50,100,3.18,overcast clouds
331,Cabo San Lucas,MX,22.8909,-109.9124,70.52,60,8,3.65,clear sky
332,Kalmunai,LK,7.4167,81.8167,81.86,74,29,2.98,scattered clouds
333,Qaqortoq,GL,60.7167,-46.0333,21.7,78,100,12.48,light snow
334,Lazaro Cardenas,MX,17.9583,-102.2,74.34,78,3,1.79,clear sky
335,Port Hedland,AU,-20.3167,118.5667,93.25,55,88,20.71,overcast clouds
336,Along,IN,28.1667,94.7667,65.28,34,0,1.28,clear sky
337,Rosarito,MX,32.3333,-117.0333,61.54,26,9,9.15,clear sky
338,Lloydminster,CA,53.2835,-110.0016,30.42,59,100,10.36,overcast clouds
339,Nemuro,JP,43.3236,145.575,28.83,62,44,12.33,scattered clouds
340,Vestmanna,FO,62.1564,-7.1664,38.32,70,100,20.71,overcast clouds
341,Boa Vista,BR,2.8197,-60.6733,78.78,65,20,10.36,few clouds
342,Bridgetown,BB,13.1,-59.6167,74.93,83,20,8.05,few clouds
343,Harper,LR,4.375,-7.7169,78.03,83,59,2.68,broken clouds
